SPDR Gold Shares (New York Stock Exchange Arca),
"The "SPDR" trademark is used under license from The McGraw-Hill Companies, Inc. ("McGraw-Hill"). No financial product offered by SPDR" Gold Trust, or its affiliates is sponsored, endorsed, sold or promoted by McGraw-Hill."
"Note: This document is for information purposes only and is subject to change without notice. No part of this document may be reproduced in any manner without the written permission of SPDR Gold Shares spdrgoldshares@ssga.com. Under no circumstances should it be used or considered as an offer to sell or a solicitation of any offer to buy the securities or other instruments mentioned in it"
"Note: SPDR Gold Shares does not represent that this information is accurate or complete and it should not be relied upon as such. SPDR Gold Shares is not responsible for any loss, damage, expense or claim, howsoever arising, suffered as a result of reliance on the data contained within this file."
"Note: On dates where the LBMA Gold Price is not published the most recently available LBMA Gold Price is used."
"*Note:  Since March 20, 2015, the Trust has been using the LBMA Gold Price PM as the price of gold in determining the value of the Trust's gold.  Before that date, the Trust used the London PM Fix, which was discontinued on March 19, 2015. All references to LBMA gold price have been provided for informational purposes only. ICE benchmark administration limited accepts no liability or responsibility for the accuracy of the prices or the underlying product to which the prices may be referenced."
Date, GLD Close, LBMA Gold Price, NAV per GLD in Gold, NAV/share at 10.30 a.m. NYT, Indicative Price of GLD at 4.15 p.m. NYT, Mid point of bid/ask spread at 4.15 p.m. NYT#, Premium/Discount of GLD mid point v Indicative Value of GLD at 4.15 p.m. NYT, Daily Share Volume, Total Net Asset Value Ounces in the Trust as at 4.15 p.m. NYT, Total Net Asset Value Tonnes in the Trust as at 4.15 p.m. NYT, Total Net Asset Value in the Trust
18-Nov-2004, 44.38, $442.00, 100.000000, 44.2, 44.305, $44.37, 0.146%, 5992000, 260000.00, 8.09, 114920000.00
19-Nov-2004, 44.78, $445.60, 99.998900, 44.55951167, 44.694, $44.78, 0.192%, 11655000, 1859994.06, 57.85, 828806907.20
22-Nov-2004, 44.75, $447.80, 99.995600, 44.77803823, 44.903, $44.95, 0.105%, 11976800, 2799952.98, 87.09, 1253785205.50
23-Nov-2004, 45.05, $448.15, 99.994500, 44.81255136, 44.812, $44.74, -0.160%, 3139000, 2799952.98, 87.09, 1254751438.19
24-Nov-2004, 45.05, $448.60, 99.993400, 44.85705902, 44.952, $45.00, 0.095%, 6052700, 3099933.30, 96.42, 1390568824.08
25-Nov-2004, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY
26-Nov-2004, 45.40, $451.00, 99.991200, 45.09606509, 45.191, $45.28, 0.196%, 3058200, 3229921.97, 100.46, 1456602906.16
29-Nov-2004, 45.12, $451.25, 99.987900, 45.11958173, 45.349, $45.39, 0.090%, 3758800, 3329909.96, 103.57, 1502482070.50
30-Nov-2004, 45.38, $453.40, 99.986900, 45.33407907, 45.139, $45.11, -0.064%, 3859100, 3329909.96, 103.57, 1509624832.88
01-Dec-2004, 44.95, $452.85, 99.985800, 45.27858434, 45.368, $45.39, 0.048%, 3857500, 3329909.96, 103.57, 1507776858.64
02-Dec-2004, 45.60, $454.20, 99.984700, 45.41307478, 44.948, $44.97, 0.037%, 6457800, 3329699.18, 103.56, 1512255390.24
03-Dec-2004, 45.17, $448.65, 99.983500, 44.85763332, 45.627, $45.60, -0.070%, 4192300, 3329699.18, 103.56, 1493759189.63
06-Dec-2004, 45.11, $453.05, 99.980300, 45.296114, 45.196, $45.18, -0.046%, 3102400, 3329699.18, 103.56, 1508360596.14
07-Dec-2004, 44.01, $451.80, 99.979200, 45.17063026, 45.075, $45.09, 0.033%, 3797300, 2829802.88, 88.02, 1278328839.45
08-Dec-2004, 43.78, $436.90, 99.977700, 43.68025546, 44.005, $44.03, 0.045%, 6113700, 2929780.58, 91.13, 1279831486.60
09-Dec-2004, 43.44, $437.10, 99.976600, 43.69977511, 43.764, $43.77, 0.002%, 3553400, 2929780.58, 91.13, 1280403410.75
10-Dec-2004, 43.91, $434.00, 99.975400, 43.38932282, 43.444, $43.45, 0.002%, 2464200, 2929780.58, 91.13, 1271307158.65
13-Dec-2004, 43.55, $434.00, 99.972100, 43.4978869, 43.892, $43.90, 0.018%, 1445100, 2929780.58, 91.13, 1274488086.03
14-Dec-2004, 43.99, $437.10, 99.971100, 43.69739304, 43.547, $43.55, 0.006%, 2240600, 2929780.58, 91.13, 1280333615.99
15-Dec-2004, 43.68, $439.00, 99.970100, 43.88689785, 43.996, $43.99, -0.025%, 2641400, 2929780.58, 91.13, 1285886107.04
16-Dec-2004, 44.19, $439.50, 99.969000, 43.93641261, 43.701, $43.71, 0.020%, 3269800, 2929780.58, 91.13, 1287336889.37
17-Dec-2004, 44.34, $438.90, 99.967900, 43.87593626, 44.140, $44.18, 0.079%, 1889300, 2849806.22, 88.64, 1250464182.36
20-Dec-2004, 44.22, $442.45, 99.964800, 44.22946571, 44.209, $44.35, 0.306%, 1942100, 2849806.22, 88.64, 1260539772.85
21-Dec-2004, 44.02, $440.95, 99.963700, 44.07899285, 44.168, $44.22, 0.106%, 1373400, 2849806.22, 88.64, 1256251296.24
22-Dec-2004, 44.27, $441.00, 99.962600, 44.0835094, 43.983, $44.01, 0.061%, 2705700, 2949768.83, 91.75, 1300463528.86
23-Dec-2004, 44.27, $441.10, 99.961500, 44.09302545, 44.177, $44.27, 0.210%, 639800, 2949768.83, 91.75, 1300744250.85
24-Dec-2004, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY
27-Dec-2004, 44.37, $441.10, 99.957200, 44.20107917, 44.480, $44.47, -0.022%, 2637900, 2949768.83, 91.75, 1303931835.40
28-Dec-2004, 43.66, $441.10, 99.956100, 44.20059477, 44.410, $44.39, -0.056%, 773200, 2949768.83, 91.75, 1303917545.74
29-Dec-2004, 43.80, $440.25, 99.955100, 44.33009877, 43.610, $43.67, 0.125%, 5632200, 2949768.83, 91.75, 1307737913.68
30-Dec-2004, 43.80, $435.60, 99.953300, 43.53968352, 43.779, $43.82, 0.082%, 1289600, 3049722.19, 94.86, 1327960347.57
31-Dec-2004, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY
03-Jan-2005, 42.74, $435.60, 99.949100, 43.77774259, 42.983, $43.01, 0.062%, 4750400, 3509488.41, 109.16, 1536598756.84
04-Jan-2005, 42.67, $427.75, 99.947200, 42.75242323, 42.722, $42.75, 0.053%, 3456800, 3508826.93, 109.14, 1500610088.45
05-Jan-2005, 42.16, $426.00, 99.946000, 42.57701606, 42.631, $42.66, 0.056%, 2033600, 3508826.93, 109.14, 1494453263.56
06-Jan-2005, 41.84, $424.35, 99.944800, 42.41160641, 42.131, $42.17, 0.080%, 2556400, 3608771.80, 112.24, 1531058990.59
07-Jan-2005, 41.95, $424.35, 99.943600, 42.19621711, 41.846, $41.84, -0.026%, 4491300, 3958574.65, 123.12, 1670970198.67
10-Jan-2005, 42.21, $420.00, 99.940200, 41.97491148, 41.949, $41.97, 0.038%, 1025800, 3958574.65, 123.12, 1662206494.48
11-Jan-2005, 42.60, $421.35, 99.939200, 42.10940141, 42.224, $42.22, -0.021%, 1507100, 4488252.67, 139.60, 1890712131.56
12-Jan-2005, 42.60, $426.60, 99.938400, 42.63373006, 42.588, $42.62, 0.063%, 1729900, 4588191.09, 142.71, 1956888209.71
13-Jan-2005, 42.32, $423.60, 99.937100, 42.33338436, 42.528, $42.57, 0.098%, 718300, 4588191.09, 142.71, 1943102341.92
